feature,importance
SPY_MA_5,0.19315343
QQQ_MA_10,0.18671688
SPY_Volatility,0.18430953
VIX_MA_5,0.12250862
VIX_Level,0.11078939
QQQ_Momentum,0.1036647
RSI,0.09657118
BB_upper,0.09556455
Volume_MA_5,0.08994105
VIX_Return,0.08515582
MACD,0.07403476
QQQ_Return,0.0733415
SPY_Return,0.05421436
Momentum_5,0.05242095
BB_lower,0.051979624
MA_10,0.04578137
Volatility,0.04477414
Return,0.044555344
Lag_1,0.04417636
Lag_2,0.04322006
Lag_3,0.040958706
Volume_Change,0.03912962
Relative_QQQ_Strength,0.03572715
Ticker_INTC,0.03344546
EMA_10,0.032729615
MA_5,0.031515673
Relative_SPY_Strength,0.025462694
Ticker_AAPL,0.023904504
Ticker_NFLX,0.012377075
Ticker_AMD,0.011965863
Ticker_GOOGL,0.004326242
Ticker_AMZN,0.0038422158
Ticker_META,0.0029018822
Ticker_MSFT,0.0018239287
Ticker_NVDA,0.001027724
High_VIX_Regime,0.0008255221
Market_Stress,0.00047413431
Ticker_TSLA,0.0
